input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
1,5,lstm,0.1,500,0,wiener,0.00013948208846287235
1,5,lstm,0.1,500,0.01,iid,0.0005218389534205083
1,5,lstm,0.1,500,0.01,wiener,0.0013016123744873087
1,5,lstm,0.1,500,0.1,iid,0.021492527761240277
1,5,lstm,0.1,500,0.1,wiener,18.3565358137191
1,5,cnn,0.001,10,0,iid,0.010311076875165796
1,5,cnn,0.001,10,0,wiener,0.025040779149977332
1,5,cnn,0.001,10,0.01,iid,0.10356279539320346
1,5,cnn,0.001,10,0.01,wiener,0.0027015723797042383
1,5,cnn,0.001,10,0.1,iid,0.02165876356587228
1,5,cnn,0.001,10,0.1,wiener,13.340979524919256
1,5,cnn,0.001,100,0,iid,2.8098349371978302e-05
1,5,cnn,0.001,100,0,wiener,4.205501481268957e-05
1,5,cnn,0.001,100,0.01,iid,0.00022252060675699494
1,5,cnn,0.001,100,0.01,wiener,0.00048150364179311815
1,5,cnn,0.001,100,0.1,iid,0.018670130912364722
1,5,cnn,0.001,100,0.1,wiener,0.04669464698632631
1,5,cnn,0.001,500,0,iid,2.1409332403925123e-05
1,5,cnn,0.001,500,0,wiener,2.2333272936041926e-05
1,5,cnn,0.001,500,0.01,iid,0.00021797503360080947
1,5,cnn,0.001,500,0.01,wiener,0.00202801239998626
1,5,cnn,0.001,500,0.1,iid,0.017185881750674273
1,5,cnn,0.001,500,0.1,wiener,13.917218700181955
1,5,cnn,0.01,10,0,iid,2.308134113744977e-05
1,5,cnn,0.01,10,0,wiener,8.634725966275457e-05
1,5,cnn,0.01,10,0.01,iid,0.00030840662985009493
1,5,cnn,0.01,10,0.01,wiener,0.027991017860423247
1,5,cnn,0.01,10,0.1,iid,0.019831347575510527
1,5,cnn,0.01,10,0.1,wiener,3.1028380152546173
1,5,cnn,0.01,100,0,iid,2.0790606245976637e-05
1,5,cnn,0.01,100,0,wiener,2.611582778750488e-05
1,5,cnn,0.01,100,0.01,iid,0.00027801308842059384
1,5,cnn,0.01,100,0.01,wiener,0.052402525570313344
1,5,cnn,0.01,100,0.1,iid,0.018801008171790708
1,5,cnn,0.01,100,0.1,wiener,0.009735575281130263
1,5,cnn,0.01,500,0,iid,3.8161494663284085e-05
1,5,cnn,0.01,500,0,wiener,2.205480121615796e-05
1,5,cnn,0.01,500,0.01,iid,0.00034317552750854843
1,5,cnn,0.01,500,0.01,wiener,0.0005468736199755416
1,5,cnn,0.01,500,0.1,iid,0.017618723306463555
1,5,cnn,0.01,500,0.1,wiener,1.175020083058236
1,5,cnn,0.1,10,0,iid,3.284557452053661e-05
1,5,cnn,0.1,10,0,wiener,2.5349823825261824e-05
1,5,cnn,0.1,10,0.01,iid,0.00031869409557939293
1,5,cnn,0.1,10,0.01,wiener,0.011928691763515976
1,5,cnn,0.1,10,0.1,iid,0.0204521763703127
1,5,cnn,0.1,10,0.1,wiener,28.16511038212823
1,5,cnn,0.1,100,0,iid,0.0001914882553794531
1,5,cnn,0.1,100,0,wiener,0.0005418963224079038
1,5,cnn,0.1,100,0.01,iid,0.00022559369423359979
1,5,cnn,0.1,100,0.01,wiener,0.00022744068069492407
1,5,cnn,0.1,100,0.1,iid,0.028844065100161808
1,5,cnn,0.1,100,0.1,wiener,0.046955633943367554
1,5,cnn,0.1,500,0,iid,4.8293961769838636e-05
1,5,cnn,0.1,500,0,wiener,2.5864366439031518e-05
1,5,cnn,0.1,500,0.01,iid,0.0005596185640048862
1,5,cnn,0.1,500,0.01,wiener,0.08829287375046749
1,5,cnn,0.1,500,0.1,iid,0.02678437144157357
1,5,cnn,0.1,500,0.1,wiener,0.051597183030938285
1,10,mlp,0.001,10,0,iid,0.0376639144077531
1,10,mlp,0.001,10,0,wiener,0.110939596529862
1,10,mlp,0.001,10,0.01,iid,0.09675276218367664
1,10,mlp,0.001,10,0.01,wiener,0.010320154267267161
1,10,mlp,0.001,10,0.1,iid,0.03700678567902513
1,10,mlp,0.001,10,0.1,wiener,0.6263371005033092
1,10,mlp,0.001,100,0,iid,0.0001166002792019775
1,10,mlp,0.001,100,0,wiener,2.2782426470198965e-05
1,10,mlp,0.001,100,0.01,iid,0.0002279681400907885
1,10,mlp,0.001,100,0.01,wiener,0.000716219000432639
1,10,mlp,0.001,100,0.1,iid,0.01899342926964362
1,10,mlp,0.001,100,0.1,wiener,0.022530594766499084
1,10,mlp,0.001,500,0,iid,2.017539743696215e-05
1,10,mlp,0.001,500,0,wiener,2.1125059338981447e-05
1,10,mlp,0.001,500,0.01,iid,0.00021777084034218958
1,10,mlp,0.001,500,0.01,wiener,0.029706860934630326
1,10,mlp,0.001,500,0.1,iid,0.019665765782404743
1,10,mlp,0.001,500,0.1,wiener,1.3847389614048822
1,10,mlp,0.01,10,0,iid,2.3626834595796316e-05
1,10,mlp,0.01,10,0,wiener,4.2211098883138554e-05
1,10,mlp,0.01,10,0.01,iid,0.0005697929197047442
1,10,mlp,0.01,10,0.01,wiener,0.00474397276514575
1,10,mlp,0.01,10,0.1,iid,0.01964982121075596
1,10,mlp,0.01,10,0.1,wiener,0.010775040857570275
1,10,mlp,0.01,100,0,iid,2.778457017636267e-05
1,10,mlp,0.01,100,0,wiener,2.0773233907582206e-05
1,10,mlp,0.01,100,0.01,iid,0.00020640878428543867
1,10,mlp,0.01,100,0.01,wiener,0.003860828426302769
1,10,mlp,0.01,100,0.1,iid,0.020474214908597833
1,10,mlp,0.01,100,0.1,wiener,0.06900501233130556
1,10,mlp,0.01,500,0,iid,3.769144981583805e-05
1,10,mlp,0.01,500,0,wiener,5.875035380483192e-05
1,10,mlp,0.01,500,0.01,iid,0.0003108456236249503
1,10,mlp,0.01,500,0.01,wiener,0.005514809277337577
1,10,mlp,0.01,500,0.1,iid,0.018236607334297196
1,10,mlp,0.01,500,0.1,wiener,0.010125523572675531
1,10,mlp,0.1,10,0,iid,2.400973538751762e-05
1,10,mlp,0.1,10,0,wiener,3.0969112966981724e-05
1,10,mlp,0.1,10,0.01,iid,0.0003026023165385802
1,10,mlp,0.1,10,0.01,wiener,0.0080316823198237
1,10,mlp,0.1,10,0.1,iid,0.02030813385177163
1,10,mlp,0.1,10,0.1,wiener,0.16682945558233542
1,10,mlp,0.1,100,0,iid,0.00019227310477669429
1,10,mlp,0.1,100,0,wiener,0.0004406713580162266
1,10,mlp,0.1,100,0.01,iid,0.0004096186260348468
1,10,mlp,0.1,100,0.01,wiener,0.00038046597543124757
1,10,mlp,0.1,100,0.1,iid,0.0201763566277223
1,10,mlp,0.1,100,0.1,wiener,0.07162742148713898
1,10,mlp,0.1,500,0,iid,4.8905605739269806e-05
1,10,mlp,0.1,500,0,wiener,2.086300221146383e-05
1,10,mlp,0.1,500,0.01,iid,0.0006654025191181551
1,10,mlp,0.1,500,0.01,wiener,0.00013597931769888577
1,10,mlp,0.1,500,0.1,iid,0.02094973387336785
1,10,mlp,0.1,500,0.1,wiener,0.009934066700065863
1,10,lstm,0.001,10,0,iid,0.03045662710578449
1,10,lstm,0.001,10,0,wiener,0.08475688524783401
1,10,lstm,0.001,10,0.01,iid,0.045356786815329765
1,10,lstm,0.001,10,0.01,wiener,0.01104570632478778
1,10,lstm,0.001,10,0.1,iid,0.043698543830887455
1,10,lstm,0.001,10,0.1,wiener,49.69560941960595
1,10,lstm,0.001,100,0,iid,0.0003831554867941304
1,10,lstm,0.001,100,0,wiener,0.00023291902654113913
1,10,lstm,0.001,100,0.01,iid,0.0004763560727647792
1,10,lstm,0.001,100,0.01,wiener,0.003575362373997405
1,10,lstm,0.001,100,0.1,iid,0.017680747357410362
1,10,lstm,0.001,100,0.1,wiener,0.011412375360940993
1,10,lstm,0.001,500,0,iid,2.21885138572976e-05
